4bac4d33,Nobutaka Suzuki
0115563f,Jacques-Emile Dubois
c91f5c62,Belhadri Messabih
abfd2f1e,Jacques Ducloy
74ffdb1e,Jean-Charles Lamirel
0e38e19c,Emmanuel Nauer
b64c089f,Ekkehard Fluck
e275153d,Henry V. Kehiaian
7318f87e,Abdoulaye Gaye
c1c73e53,Nahum D. Gershon
e2f09faa,William Ruh
a7b37d78,Brian Dickens
f19c3743,Joshua LeVasseur
4c195238,André Heck
7cf42468,Eberhard R. Hilf
936af18f,Bernd Diekmann
b71b886c,Heinrich Stamerjohanns
11ab250a,Jacob Curdes
28acd186,Katsuhisa Horimoto
c4ad12bc,Kunio Oshima
0f550fda,Akira Tsugita
bdd1e24d,Jinya Otsuka
afa94c7b,Arild Jansen
4a75697a,Pål Sørgaard
fb97c949,Frank Kappe
adcc3fac,Barbara E. Kirsop
35407309,Andy Edwards
559a72c1,Sidnei Souza
e58cc8f5,Ashok S. Kolaskar
9d798593,Prashant S. Naik
3ab8738b,Michael J. Kurtz
286ac010,Günther Eichhorn
9a6b98ab,Stephen S. Murray
78da7cb0,Carolyn Stern-Grant
983ae526,Alberto Accomazzi
96f5946a,M. L. Harrie Lalieu
2923c015,Lunjiang Ling
3936faff,Junko Shimura
0d9b3a9f,Hideaki Sugawara
0f550fda,Akira Tsugita
a39bad63,Valdiodio Ndiaye
73b7542c,Richard J. Olson
0e078f8e,Robert S. Turner
b48710ce,Charles T. Garten Jr.
46a622ae,Bartolomé Orfila
e946c895,George Papapavlou
0d5bd20b,Jean-Charles Profizi
539901f5,Pierre-Guillaume Raverdy
7bf87e20,Phillipe Darche
32b55b2e,Bertil Folliot
e03ce090,Steve F. Rossouw
0f550fda,Akira Tsugita
0aba29eb,Joel Winstead
c1c73e53,Nahum D. Gershon
98fb9641,Zhihong Xu
98fb9641,Zhihong Xu
b9f8f6cf,Fionn Murtagh
5f714208,Guy Gogniat
304617de,Michel Auguin
f0838432,Luc Bianco
e439c98a,Alain Pegatoquet
1ccb4e54,Brian Grattan
e6a4e98c,Greg Stitt
c3a2be4e,Frank Vahid
eadba8fd,Peter Green
f6d948db,Paul Rushton
74b8a262,Ronnie Beggs
3fdfb354,Eike Grimpe
398c0ae1,Frank Oppenheimer
4f591499,Peter Grun
5b0838ee,Florin Balasa
5a455555,Nikil D. Dutt
246d3d3b,Michael Gschwind
69a8aeb4,R. K. Gupta
446f497a,T. Vinod Kumar Gupta
a3f455a1,Roberto E. Ko
ab3bf7ad,Rajeev Barua
c598a51a,Rajesh K. Gupta
35c0ae98,Giovanni De Micheli
35745cee,Andreas Hagen
210adab2,Daniel A. Connors
e4436e62,Bryan L. Pellom
22d019d9,Jiwon Hahn
67118013,Qiang Xie
582c4c41,Pai H. Chou
9279c5e3,Gwenolé Corre
bb8b946b,Eric Senn
00c81c6b,Pierre Bomel
4a83972b,Nathalie Julien
34acb8bb,Eric Martin
0557d212,Andrea Acquaviva
2c255bd4,Luca Benini
3a4cda52,Bruno Riccò
e1608091,Roberto Costa
73862c26,Erven Rohou
9e2faf91,Cagdas Akturan
02827537,Margarida F. Jacome
f3cedffc,Vincenza Carchiolo
1d78b0ff,Michele Malgeri
46c1f5f5,Giuseppe Mangioni
f7e5795d,Xiaobo Sharon Hu
a129c38b,Gang Quan
b4c702e5,Jones Albuquerque
59319b68,Claudionor José Nunes Coelho Jr.
7aab5344,Carlos Frederico Cavalcanti
6c4f1976,Diógenes Cecilio da Silva Jr.
3c00ec7b,Antônio Otávio Fernandes
a40e741b,Philippe Coste
5fe56048,F. Hessel
8217fd82,P. LeMarrec
98ad4ea8,Zoltan Sugar
e6f2e8a2,M. Romdhani
8f3ab0f1,Rodolph Suescun
15ca92cf,Nacer-Eddine Zergainoh
a56bfeaf,Ahmed Amine Jerraya
64c02246,Alberto Allara
9f9091cc,S. Filipponi
3aa2ff50,Fabio Salice
f382d718,William Fornaciari
fc0f666e,Donatella Sciuto
051dec25,Susan Cotterell
c3a2be4e,Frank Vahid
768d06e6,Walid A. Najjar
021cdabd,Harry Hsieh
e110424f,José M. Álvarez
c16b257a,Manuel Díaz
20fcca07,Luis Llopis
2d76c624,Ernesto Pimentel
25805656,José M. Troya
9658d88e,Andrea Cuomo
312dd639,R. Anand
02827537,Margarida F. Jacome
3722ddbd,Gustavo de Veciana
7cbb2f11,Raul Camposano
9db843f7,Mark Underseth
0063c0ff,Faraydon Karim
44ffda59,Jian Li
c598a51a,Rajesh K. Gupta
d1a9e7ff,Stefano Antoniazzi
f1e4d9bf,Alessandro Balboni
f382d718,William Fornaciari
fc0f666e,Donatella Sciuto
6d011d5e,Joseph G. D'Ambrosio
f7e5795d,Xiaobo Sharon Hu
023d1781,Marnix Arnold
f781a1a6,Henk Corporaal
ca5cd6f3,Koen Danckaert
fe9b090d,Francky Catthoor
bd8aeefb,Hugo De Man
023d1781,Marnix Arnold
f781a1a6,Henk Corporaal
cdda36a1,Ali Dasdan
529eee4a,Divya Arora
57269304,Anand Raghunathan
2f071356,Srivaths Ravi
683fead7,Niraj K. Jha
44333936,Jean-Marc Daveau
40ccaa8d,Gilberto Fernandes Marchioro
a56bfeaf,Ahmed Amine Jerraya
a6e42a10,Giuseppe Ascia
f98a2d0a,Vincenzo Catania
11cae6bc,Maurizio Palesi
e31b6d74,Matthias Deegener
3288fd75,Sorin A. Huss
a6e42a10,Giuseppe Ascia
f98a2d0a,Vincenzo Catania
11cae6bc,Maurizio Palesi
4603eb28,Dirk Desmet
c5f7990d,Michiel Esvelt
9f1b880f,Prabhat Avasare
af996cce,Diederik Verkest
bd8aeefb,Hugo De Man
8f60cf52,Kubilay Atasu
227683f3,Günhan Dündar
13a686c2,Can C. Özturan
68ad0b91,Luca P. Carloni
28855c1f,Alberto L. Sangiovanni-Vincentelli
9605ea83,James Lin
304617de,Michel Auguin
23c479d3,Mohamed Belhadj
7b595ed1,Judith Benzakki
3cc6774e,C. Carrière
b783c5f8,Guy Durrieu
fba88386,Thierry Gautier
06b39576,Michel Israël
7e509bf2,Paul Le Guernic
fc884061,Michel Lemaître
ac9acbd4,E. Martin
b10a625b,P. Quinton
dec1ed38,Laurence Rideau
7614d3fb,François Rousseau
da3caa39,Olivier Sentieys
9c12bc8f,Nagu R. Dhanwada
4bb80b8a,Ing-Chao Lin
b58dd56b,Vijaykrishnan Narayanan
304617de,Michel Auguin
139a3ddb,Fernand Boéri
3cc6774e,C. Carrière
a64da999,Robert P. Dick
9e0f8a22,David L. Rhodes
6633face,Wayne Wolf
e09325d9,Jakob Axelsson
fdc9be3f,Adam Donlin
61bd4d44,Abdenour Azzedine
d7be10ca,Jean-Philippe Diguet
835fb104,Jean-Luc Pillippe
e1b5a3f2,Nik Dutt
d3dc4698,Janos Sztipanovits
bfdd90dc,Masaki Hirata
751bdbe4,Felice Balarin
90d09543,Basant Kumar Dwivedi
98c8169a,Jan Hoogerbrugge
e511d952,Paul Stravers
c7a8ac1a,M. Balakrishnan
751bdbe4,Felice Balarin
ec8879cc,Olivier Caron
bb1f1eca,Vincent Cordonnier
a1a94101,Philippe Durif
0710f472,Georges Grimonprez
8ec707c7,Hyunok Oh
ff03acc9,Soonhoi Ha
751bdbe4,Felice Balarin
beeec1f6,Massimiliano Chiodo
d7833a12,Attila Jurecska
d8b8b9e6,Luciano Lavagno
a79dc6a7,Bassam Tabbara
28855c1f,Alberto L. Sangiovanni-Vincentelli
1b8bb2bf,Guangyu Chen
13eb95ef,Narayanan Vijaykrishnan
ac4c8c68,Mahmut T. Kandemir
04d9798b,Mary Jane Irwin
6026a2dc,Mario Wolczko
8ec707c7,Hyunok Oh
ff03acc9,Soonhoi Ha
751bdbe4,Felice Balarin
d8b8b9e6,Luciano Lavagno
cc6d398d,Claudio Passerone
28855c1f,Alberto L. Sangiovanni-Vincentelli
5882b758,Yosinori Watanabe
6b0cbc28,Guang Yang
90d09543,Basant Kumar Dwivedi
be885cae,Anshul Kumar
c7a8ac1a,M. Balakrishnan
f1e4d9bf,Alessandro Balboni
f382d718,William Fornaciari
fc0f666e,Donatella Sciuto
4d34a801,Tommy King-Yin Cheung
17e4eb64,Graham R. Hellestrand
dc3b28c3,Prasert Kanthamanon
c57620bd,Feng-Shi Su
dc9692cc,Pao-Ann Hsiung
266e27f8,Massimo Baleani
3f51bf0a,Frank Gennari
3e23a805,Yunjian Jiang
20ccc653,Yatish Patel
a779e499,Robert K. Brayton
28855c1f,Alberto L. Sangiovanni-Vincentelli
b6cf9492,Martyn Edwards
e86b8fdd,Neal K. Bambha
c52c00b0,Shuvra S. Bhattacharyya
4f31928f,Jürgen Teich
e8a1b551,Eckart Zitzler
ed315f97,Stephen A. Edwards
d4fcfa51,Jwahar R. Bammi
cd198619,Wido Kruijtzer
d8b8b9e6,Luciano Lavagno
5d2a205b,Edwin A. Harcourt
ed144a42,Mihai T. Lazarescu
9027de65,Michael Eisenring
4f31928f,Jürgen Teich
d77bdae5,Rajeshwari Banakar
eebb4c64,Stefan Steinke
96685d0c,Bo-Sik Lee
c7a8ac1a,M. Balakrishnan
5ebcc362,Peter Marwedel
a7d14457,Petru Eles
398ce7ed,Zebo Peng
343534fb,Alexa Doboli
d3ea716c,Sudarshan Banerjee
5a455555,Nikil D. Dutt
1b578003,Frank A. Engel
6bc29317,Johannes Nührenberg
5bfb6f32,Gerhard Fettweis
286a07c3,Edna Barros
de1ff60c,Augusto Sampaio
b9442350,Cagkan Erbas
d76d8e90,Selin C. Erbas
65834ff1,Andy D. Pimentel
b608361e,I. D. Bates
bf31e5b3,E. Graeme Chester
dcf1e29c,D. J. Kinniment
9ee32adb,João M. Fernandes
4385b6b4,Ricardo Jorge Machado
ec5fa668,Henrique D. Santos
d47dd45d,Tomás Bautista
ae9af68e,Antonio Núñez
a65c04b3,Alessandro Fin
7d57245e,Franco Fummi
9f24b207,Maurizio Martignano
425bd3dd,Mirko Signoretto
0c2794c1,Thomas Benner
8f63fcd2,Rolf Ernst
10db6466,Mojy C. Chian
c76df50f,Zhao Wu
6633face,Wayne Wolf
bda5127d,Reinaldo A. Bergamaschi
db1e3c9d,Grant Martin
beeec1f6,Massimiliano Chiodo
9710c2c5,Pan Yu
94f4db9b,Tulika Mitra
bda5127d,Reinaldo A. Bergamaschi
db1e3c9d,Grant Martin
6633face,Wayne Wolf
8f63fcd2,Rolf Ernst
54ce27af,Kees A. Vissers
7e4c1507,Jack Kouloheris
582c4c41,Pai H. Chou
fa181d62,Gaetano Borriello
b83102cd,Nam Sung Woo
bda5127d,Reinaldo A. Bergamaschi
91d1bd99,Youngsoo Shin
9c12bc8f,Nagu R. Dhanwada
630dcb3d,Subhrajit Bhattacharya
ab8b398d,William E. Dougherty
3119aa18,Indira Nair
596e6846,John A. Darringer
cb6626d8,Sarala Paliwal
f08eff22,Franz Fischer
2f7a1d94,Annette Muth
3762abb2,Georg Färber
f0838432,Luc Bianco
304617de,Michel Auguin
5f714208,Guy Gogniat
e439c98a,Alain Pegatoquet
b5dbff0d,Josef Fleischmann
59b1f5fe,Klaus Buchenrieder
52f00a6c,Rainer Kress
d5869053,Dag Björklund
7fdfff49,Johan Lilius
582c4c41,Pai H. Chou
fa181d62,Gaetano Borriello
60bb3b16,Kyung-Ho Kim
e7f2a7e1,Peter Bjørn-Jørgensen
1e853849,Jan Madsen
342ac451,Luca Formaggio
7d57245e,Franco Fummi
01eac749,Graziano Pravadelli
b4b308f7,Per Bjuréus
dde01035,Mikael Millberg
9cec9221,Axel Jantsch
f382d718,William Fornaciari
63674619,M. Polentarutti
fc0f666e,Donatella Sciuto
1c1f864f,Cristina Silvano
ff602a8c,Jens P. Brage
1e853849,Jan Madsen
fd52ca2f,François Clouté
06c92dcc,Jean-Noël Contensou
51cf3eff,Daniel Esteve
3e409ae2,Pascal Pampagnin
d68e15fe,Philippe Pons
33f49a55,Yves Favard
82d2027d,Tao Xu
8b8ae243,Krishnendu Chakrabarty
f171c55d,Carlo Brandolese
f382d718,William Fornaciari
3aa2ff50,Fabio Salice
fc0f666e,Donatella Sciuto
3264950e,Johan Cockx
2bee456e,Dong-Ik Ko
c52c00b0,Shuvra S. Bhattacharyya
f171c55d,Carlo Brandolese
f382d718,William Fornaciari
3aa2ff50,Fabio Salice
fc0f666e,Donatella Sciuto
f382d718,William Fornaciari
3aa2ff50,Fabio Salice
9e52c660,Umberto Bondi
f9f294e7,Edi Magini
0a83e0a0,Ansgar Bredenfeld
f382d718,William Fornaciari
3aa2ff50,Fabio Salice
d250e994,Daniele Paolo Scarpazza
1c2ac449,Oliver Bringmann
99aae9d4,Wolfgang Rosenstiel
47367511,Axel Siebenborn
f382d718,William Fornaciari
fc0f666e,Donatella Sciuto
1c1f864f,Cristina Silvano
d21c548c,Jean-Yves Brunel
f7fe24df,Erwin A. de Kock
b331c258,W. M. Kruijtzer
7e3decd7,H. J. H. N. Kenter
b0ab2e60,W. J. M. Smits
f382d718,William Fornaciari
fc0f666e,Donatella Sciuto
1c1f864f,Cristina Silvano
296d855a,Vittorio Zaccaria
b54e6d6e,Joseph T. Buck
ab82cc98,Björn Franke
2d932df3,Michael F. P. O'Boyle
da781474,Joseph Buck
dc1d1c2a,Radha Vaidyanathan
e7c4dc20,Laurent Freund
35e1f53b,Denis Dupont
06b39576,Michel Israël
f5aea2a5,Frédéric Rousseau
bc194edf,Doug Burger
817fe317,Catherine H. Gebotys
9c94f454,Lukai Cai
37181512,Daniel Gajski
817fe317,Catherine H. Gebotys
a5801af6,Y. Zhang
1f825d2e,Jean Paul Calvez
aea04ffe,Dominique Heller
ce5658f4,Olivier Pasquier
caf8121d,Mark Genoe
16d2acc9,Christopher K. Lennard
65bf4f1b,Joachim Kunkel
60b6a76f,Brian Bailey
8b7b9d40,Gjalt G. de Jong
db1e3c9d,Grant Martin
d74a8408,M. M. Kamal Hashmi
4d8bdce0,Shay Ben-Chorin
68fca10a,Anssi Haverinen
2bc9211d,J. P. Calvez
319e26f2,D. Isidoro
d005a9f5,Robert S. Germain
1b66d1cd,Blake G. Fitch
2eabb8cf,Aleksandr Rayshubskiy
87d1092c,Maria Eleftheriou
0b8166b9,Michael Pitman
d2703c5b,Frank Suits
5d5b9f45,Mark Giampapa
88313fc9,T. J. Christopher Ward
1f825d2e,Jean Paul Calvez
ce5658f4,Olivier Pasquier
1124f43b,J. Peckol
2c508398,Carlos Carreras
65992971,Juan Carlos López
a9e18190,María Luisa López
78468b88,Luis Sánchez
05ebbb09,Carlos Delgado Kloos
e04fb070,Natividad Martínez Madrid
b3a5ce3f,R. Gerndt
1be1a6d5,Giuseppe Del Castillo
2c0ec982,Wolfram Hardt
59319b68,Claudionor José Nunes Coelho Jr.
ac52e07a,Jerry Chih-Yuan Yang
8eeea034,Vincent John Mooney III
35c0ae98,Giovanni De Micheli
8b8ae243,Krishnendu Chakrabarty
61072ba5,Fei Su
e792ed78,Reinhard Gerndt
8f63fcd2,Rolf Ernst
f3071407,François Charot
17f6df13,Vincent Messé
14b5e272,Jason Cong
28c14160,Yiping Fan
a41bad6e,Guoling Han
72e30931,Xun Yang
ec5edcb3,Zhiru Zhang
70c8f6cd,André Chátelain
3b359172,Yves Mathys
2472a04f,Giovanni Placido
fc7cdf53,Alberto La Rosa
d8b8b9e6,Luciano Lavagno
96e67ece,Tony Givargis
c3a2be4e,Frank Vahid
5f84f562,Karam S. Chatha
bbf1170b,Ranga Vemuri
1df654f6,Thomas Gleerup
5714a2d2,Hans Holten-Lund
1e853849,Jan Madsen
cacc5711,Steen Pedersen
5f84f562,Karam S. Chatha
bbf1170b,Ranga Vemuri
c6d469a4,C. John Glossner
6a32a603,Mayan Moudgill
c5d7497c,Daniel Iancu
dd3ff69b,Gary Nacer
7b537c37,Sanjay Jinturkar
4e82c2d3,Stuart Stanley
27d76604,Michael Samori
4a7eb6f5,Tanuj Raja
361c6008,Michael J. Schulte
a92d92c0,Stamatis Vassiliadis
1b8bb2bf,Guangyu Chen
ac4c8c68,Mahmut T. Kandemir
13eb95ef,Narayanan Vijaykrishnan
04d9798b,Mary Jane Irwin
6633face,Wayne Wolf
5f714208,Guy Gogniat
304617de,Michel Auguin
f01b8355,Cécile Belleudy
ca12ae1e,Guilin Chen
ac4c8c68,Mahmut T. Kandemir
13eb95ef,Narayanan Vijaykrishnan
e21fc52e,Anand Sivasubramaniam
04d9798b,Mary Jane Irwin
7ec274f6,Olivier Hébert
b17a7776,Ivan C. Kraljic
df48b2c2,Yvon Savaria
583d85b1,Zhengting He
2a826d97,Aloysius K. Mok
ae39dc1d,Thierry Grandpierre
89bdbc5f,Christophe Lavarenne
815bf3ed,Yves Sorel
10d6d534,Andreas Hansson
6c831005,Kees Goossens
6123be40,Andrei Radulescu
2c0ec982,Wolfram Hardt
99aae9d4,Wolfgang Rosenstiel
d0838cda,Reiner W. Hartenstein
686a81b8,Jürgen Becker
d0838cda,Reiner W. Hartenstein
686a81b8,Jürgen Becker
52f00a6c,Rainer Kress
777bfd6e,Dimitris Lioupis
a7a2a38a,Apostolos Papagiannis
07b568f5,Dionysia Psihogiou
8c708af0,Ananth Hegde
13eb95ef,Narayanan Vijaykrishnan
ac4c8c68,Mahmut T. Kandemir
04d9798b,Mary Jane Irwin
bbf90c4a,Jinfeng Liu
582c4c41,Pai H. Chou
348f4761,Nader Bagherzadeh
7841537a,Jörg Henkel
8f63fcd2,Rolf Ernst
bbf90c4a,Jinfeng Liu
582c4c41,Pai H. Chou
348f4761,Nader Bagherzadeh
f1577acf,Fadi J. Kurdahi
7841537a,Jörg Henkel
cfa96502,Yanbing Li
aaf37946,Wei Ming Lim
a616e14b,Mohammed Benaissa
354b4320,Chenjie Yu
e98654ee,Peter Petrov
40cfa1bf,Tomas Henriksson
c6d0b555,Jeffrey Kang
53a9ccf1,Pieter van der Wolf
e0f917af,Jie Liu
a600869d,Marcello Lajolo
28855c1f,Alberto L. Sangiovanni-Vincentelli
fbbcf87b,Dirk Herrmann
7841537a,Jörg Henkel
8f63fcd2,Rolf Ernst
dc27e157,Rafael Peset Llopis
329d3289,Ramanathan Sethuraman
a0015b36,Carlos A. Alba Pinto
23de40aa,Harm Peters
ceea1ba6,Steffen Maul
af344c8a,Marcel Oosterhuis
3ebde2e7,Ken Hines
fa181d62,Gaetano Borriello
47f5c706,Yung-Hsiang Lu
2c255bd4,Luca Benini
35c0ae98,Giovanni De Micheli
457bd860,Flemming Høeg
6813d21e,Niels Mellergaard
41807a7e,Jørgen Staunstrup
47f5c706,Yung-Hsiang Lu
d5132ded,Tajana Simunic
35c0ae98,Giovanni De Micheli
095ce8a6,H. Peter Hofstee
70bb97f1,Michael N. Day
4ffd51f1,Paul Lieverse
53a9ccf1,Pieter van der Wolf
9f36667b,Ed F. Deprettere
265b83ff,Pengyuan Yu
d6933321,Patrick Schaumont
88ec641c,Thomas Hollstein
686a81b8,Jürgen Becker
fe6f0d78,Andreas Kirschbaum
513b19ce,Manfred Glesner
508efee0,Wayne Luk
f606dcd6,Teddy Wu
d0561931,Denis Hommais
84b45eb4,Frédéric Pétrot
1e4834cd,Ivan Augé
7330e2ef,Roman L. Lysecky
c3a2be4e,Frank Vahid
aa4e57b4,Shinya Honda
db8f862b,Takayuki Wakabayashi
0b56bb6f,Hiroyuki Tomiyama
a5ad32ff,Hiroaki Takada
1e853849,Jan Madsen
e7f2a7e1,Peter Bjørn-Jørgensen
9c10f8cc,Junwei Hou
6633face,Wayne Wolf
72d38d5a,Mahesh Mamidipaka
96f7b7a3,Kamal S. Khouri
5a455555,Nikil D. Dutt
a329f7b6,Magdy S. Abadir
021cdabd,Harry Hsieh
28855c1f,Alberto L. Sangiovanni-Vincentelli
fe67b5b2,Paul Marchal
1d2cb1ee,José Ignacio Gómez
fe9b090d,Francky Catthoor
dc9692cc,Pao-Ann Hsiung
db1e3c9d,Grant Martin
37181512,Daniel Gajski
99b2b2ca,David Goodwin
0a371b11,Patrick Lysaght
5ebcc362,Peter Marwedel
672a2af6,Mike Muller
26bbffd7,Jeff Welser
dc9692cc,Pao-Ann Hsiung
db1e3c9d,Grant Martin
d8b8b9e6,Luciano Lavagno
002c19f0,Jean Louis-Guerin
dc9692cc,Pao-Ann Hsiung
e666499b,Cheng-Yi Lin
5ebcc362,Peter Marwedel
817fe317,Catherine H. Gebotys
443d49cf,Hiroaki Inoue
45e3f5f5,Akihisa Ikeno
aefd9407,Masaki Kondo
95d091dc,Junji Sakai
992e88eb,Masato Edahiro
5ebcc362,Peter Marwedel
37181512,Daniel Gajski
f7fe24df,Erwin A. de Kock
bd8aeefb,Hugo De Man
e3996f81,Mariagiovanna Sami
7d304a7f,Ingemar Söderquist
403236e6,Tarek Ben Ismail
448c95a0,Mohamed Abid
a56bfeaf,Ahmed Amine Jerraya
d12e7068,Binu K. Mathew
a24d014c,Al Davis
02827537,Margarida F. Jacome
3722ddbd,Gustavo de Veciana
9e2faf91,Cagdas Akturan
45bcaa5b,Sven Mattisson
1657d9e4,Manoj Kumar Jain
a2b8c533,Lars Wehmeyer
eebb4c64,Stefan Steinke
5ebcc362,Peter Marwedel
c7a8ac1a,M. Balakrishnan
ef186aed,Alexander Maxiaguine
ee5a6060,Samarjit Chakraborty
bdf13caf,Lothar Thiele
d1e5a763,Randall S. Janka
807e7f7e,Linda M. Wills
ef186aed,Alexander Maxiaguine
9ff69b6b,Yongxin Zhu
ee5a6060,Samarjit Chakraborty
5e365bb2,Weng-Fai Wong
9cec9221,Axel Jantsch
4811c7d6,Ingo Sander
c1cceb04,Peggy B. McGee
966615d4,Steven M. Nowick
7258b324,Edward G. Coffman Jr.
9cec9221,Axel Jantsch
4811c7d6,Ingo Sander
9292bb6e,Wenbiao Wu
820db466,Matthias Meerwein
08cba4e0,C. Baumgartner
883ebb72,W. Glauert
d4aa9dde,D. C. R. Jensen
1e853849,Jan Madsen
cacc5711,Steen Pedersen
b145f1aa,Behzad Mohebbi
311c2a43,Eliseu Chavez Filho
b2a93215,Rafael Maestre
a99389fe,Mark Davies
f1577acf,Fadi J. Kurdahi
8d5acf5b,Marek Jersak
6d2cc1bf,Kai Richter
191d1ed0,Rafik Henia
8f63fcd2,Rolf Ernst
0e1aef9d,Frank Slomka
e2cbf5fb,Paul Morgan
b777ed84,Richard Taylor
fafe4821,Japheth Hossell
5a200229,George Bruce
440c9c38,Barry O'Rourke
3e23a805,Yunjian Jiang
a779e499,Robert K. Brayton
59d849ab,Trevor N. Mudge
140d0d99,Yujia Jin
c7a7d8ad,Nadathur Satish
28c7de56,Kaushik Ravindran
d6965059,Kurt Keutzer
a534d334,Christian Müller-Schloer
5bc92312,Charlie Johnson
26bbffd7,Jeff Welser
672a2af6,Mike Muller
2b37ca31,Hyunuk Jung
ff03acc9,Soonhoi Ha
34f62157,Radu Muresan
817fe317,Catherine H. Gebotys
0b493c19,Ismail Kadayif
ac4c8c68,Mahmut T. Kandemir
b3d758da,Ibrahim Kolcu
1b8bb2bf,Guangyu Chen
34f62157,Radu Muresan
9a49cf01,Haleh Vahedi
ef4097cb,Y. Zhanrong
d8322871,Stefano Gregori
03701a7b,Asawaree Kalavade
313ec68e,Edward A. Lee
3bc7014d,Praveen K. Murthy
09c1774c,Etan G. Cohen
dbaa4b5a,Steve Rowland
2587b0df,Sankalp Kallakuri
6967f33e,Alex Doboli
29478b7f,G. D. Nagendra
50588ec0,V. G. Prem Kumar
719a0d4e,B. S. Sheshadri Chakravarthy
ac4c8c68,Mahmut T. Kandemir
0b493c19,Ismail Kadayif
502682cf,Hemendra Singh Negi
94f4db9b,Tulika Mitra
e4581b43,Abhik Roychoudhury
ac4c8c68,Mahmut T. Kandemir
0b493c19,Ismail Kadayif
ca12ae1e,Guilin Chen
ed7da568,Erland Nilsson
58d64a3e,Johnny Öberg
7e3decd7,H. J. H. N. Kenter
cc6d398d,Claudio Passerone
b0ab2e60,W. J. M. Smits
5882b758,Yosinori Watanabe
28855c1f,Alberto L. Sangiovanni-Vincentelli
581ede29,Sungtaek Lim
